rank,restaurant_name,location,address,ratings,lat_long,lat,long,link
29,Adam's,Birmingham,"New Oxford House, 16 Waterloo Street, Birmingham, B2 5UG",4.8,"(52.4797973, -1.9014144878735653)",52.4797973,-1.9014144878735653,https://www.leadingrestaurants.co.uk/restaurants/adams-b2-5qp/
30,The Little Fish Market,Hove,"10 Upper Market Street, Hove, BN3 1AS",4.8,"(50.8248834, -0.1573958)",50.8248834,-0.1573958,https://www.leadingrestaurants.co.uk/restaurants/the-little-fish-market-bn3-1as/
31,Restaurant Martin Wishart,Edinburgh,"54 The Shore, Leith, Edinburgh, EH6 6RA",4.7,"(55.975436, -3.1704432)",55.975436,-3.1704432,https://www.leadingrestaurants.co.uk/restaurants/restaurant-martin-wishart-eh6-6ra/
32,Roganic [CLOSED],London,closed,closed,"(18.5324119, -68.6732965)",18.5324119,-68.6732965,
33,Le Cochon Aveugle,York,"37 Walmgate, York, YO1 9TX",4.8,"(53.9569208, -1.0763055)",53.9569208,-1.0763055,https://www.leadingrestaurants.co.uk/restaurants/le-cochon-aveugle-yo1-9tx/
34,Gymkhana,London,"42 Albemarle Street, London, W1S 4JH",4.5,"(51.5084811, -0.1414863)",51.5084811,-0.1414863,https://www.leadingrestaurants.co.uk/restaurants/gymkhana-w1s-4jh/
35,Hipping Hall,Kirkby Lonsdale,"Cowan Bridge, Kirkby Lonsdale, LA6 2JJ",4.8,"( 54.176776, -2.5474905)",54.176776,-2.5474905,https://www.leadingrestaurants.co.uk/restaurants/hipping-hall-la6-2jj/
36,Dastaan,Epsom,"447 Kingston Road, Ewell, Epsom, KT19 0DB",4.7,"(  51.368951, -0.2659405)",51.368951,-0.2659405,https://www.leadingrestaurants.co.uk/restaurants/dastaan-kt19-0db/
37,House of Tides,Newcastle Upon Tyne,"28-30 The Close, Newcastle Upon Tyne, NE1 3RF",4.7,"(54.967953, -1.6102132)",54.967953,-1.6102132,https://www.leadingrestaurants.co.uk/restaurants/house-of-tides-ne1-3rf/
38,Sorrel,Dorking,"77 South Street, Dorking, RH4 2JU",4.9,"(51.22868255, -0.33443901355601424)",51.22868255,-0.33443901355601424,https://www.leadingrestaurants.co.uk/restaurants/sorrel-rh4-2ju/
39,Indian Accent [CLOSED],London,closed,closed,"(18.5324119, -68.6732965)",18.5324119,-68.6732965,
40,Morston Hall,Blakeney,"Morston, Holt, Blakeney, NR25 7AA",4.9,"(  52.955028, 0.9860007)",52.955028,0.9860007,https://www.leadingrestaurants.co.uk/restaurants/morston-hall-nr25-7aa/
41,The Peat Inn,St Andrews,"Peat Inn, St Andrews, KY15 5LH",4.8,"( 56.278357,-2.8841545)",56.278357,-2.8841545,https://www.leadingrestaurants.co.uk/restaurants/the-peat-inn-ky15-5lh/
42,The Neptune Restaurant with Rooms,Hunstanton,"85 Old Hunstanton Road, Old Hunstanton, Hunstanton, PE36 6HZ",4.8,"(52.9509841, 0.5073734)",52.9509841,0.5073734,https://www.leadingrestaurants.co.uk/restaurants/the-neptune-restaurant-with-rooms-pe36-6hz/
43,Opheem,Birmingham,"48 Summer Row, Birmingham, B3 1JJ",4.6,"(52.4815548, -1.9082238)",52.4815548,-1.9082238,https://www.leadingrestaurants.co.uk/restaurants/opheem-b3-1jj/
44,The Artichoke,Amersham,"9 Market Square, Old Amersham, Amersham, HP7 0DF",4.6,"(51.6665527, -0.6163335)",51.6665527,-0.6163335,https://www.leadingrestaurants.co.uk/restaurants/the-artichoke-hp7-0df/
45,Sosban and The Old Butcher's,Menai Bridge,"Trinity House, 1 High Street, Menai Bridge, LL59 5EE",4.8,"(53.226135,-4.1628596)",53.226135,-4.1628596,https://www.leadingrestaurants.co.uk/restaurants/sosban-and-the-old-butchers-ll59-5ee/
46,Le Gavroche,London,"43 Upper Brook Street, London, W1K 7QR",4.6,"(51.5112595, -0.1552059)",51.5112595,-0.1552059,https://www.leadingrestaurants.co.uk/restaurants/le-gavroche-w1k-7qr/
